id,order_id,name,is_veg
98,64919239494,Curd Rice,1
99,64919239494,Chocolate Milk Shake,1
100,64337605340,Garlic  Naan,1
101,64337605340,Butter Naan,1
102,64337605340,Paneer Pulao,1
103,64337605340,Gobi Masala,1
104,64337605340,Strawberry Milk Shake,1
105,63528835993,Good ol' Rajma Chawal,1
106,63528835993,Peri Peri Chicken with Egg Corn Rice,0
107,63528835993,Paneer Butter Masala with Mattar Pulao,1
108,61309491436,The Paneer Overload Fusion Box,1
109,60620307292,Kitkat Oreo Shake [300 ml],1
110,58604508507,Paneer Butter Masala with Matar Pulao + Choice of Dessert,1
111,57681625363,Oreo Chocolate Melt Jar,1
112,56817719676,Classic Mac & Cheese ,1
113,55425946120,Classic Mac & Cheese,1
114,54997774768,Classic Mac & Cheese,1
115,54997774768,Bailey's Chocolate Mousse,1
116,52839287946,Chocolate Hazelnut Hunger Shake (Regular),1
117,52557909787,Paneer Butter Masala with Mattar Pulao,1
118,52471089408,Makai Masala Rice Bowl,1
119,50775345135,Brownie Surprise,1
120,49749872968,"Corn & Peas Sub (15 cms, 6 Inch)",1
121,49749872968,"Corn & Peas Sub (15 cms, 6 Inch)",1
122,49749872968,"Paneer Tikka Sub (15 cms, 6 Inch)",1
123,49315198865,Chocolate Lovers,1
124,49315198865,Swiss Choco Brownie,1
125,49298321465,Paneer Biryani,1
126,49298321465,Gobi Manchurian,1
127,48342768684,Kitkat Oreo Shake [300 ml],1
128,48342768684,Berry Blast Shake [300 ml],1
129,48093468935,Paneer & corn Pasta,1
130,46946088452,Paneer Pulao with Kadhi,1
131,46946088452,Gobi Manchurian,1
132,46709238766,Tawa Ghee Phulka,1
133,46709238766,Mattar Paneer,1
134,46709238766,Punjabi Chaach Di-Bottle (Butter Milk),1
135,46709238766,Cheese Garlic Kulcha,1
136,45580335390,Belgian Chocolate - Dark,1
137,45329093270,Peas Pulao ,1
138,45329093270,Mixed Veg Raita,1
139,45046337544,Paneer Tikka Masala,1
140,45046337544,Roti,1
141,45046337544,Naan,1
142,44294169925,Cookies & Cream,1
143,44281184062,Cheese corn Wrap,1
144,43878488152,Butterscotch Ice cream,1
145,43878488152,Swiss Chocolate Ice cream,1
146,43878488152,Oreo Cream and Fudge,1
147,43875533945,Gobi Manchurian (Dry),1
148,43875533945,Paneer Fried Rice,1
149,43875533945,Chicken Fried Rice,0
150,43875533945,Dragon Chicken,0
151,41434653260,Classic Corn (Personal),1
152,41434653260,Garlic Breadsticks,1
153,40720888087,Punjabi Thali (Limited),1
154,38930061426,Fajita Veggies Quesadilla,1
155,38930061426,Cheesy Double Decker Taco Veg,1
156,37720646109,Chocodilla,1
157,37720646109,Cheesy Double Decker Taco Veg,1
158,29854675649,Cheese corn Wrap,1
159,29854675649,Paneer & corn Pasta,1
160,27788088847,Cheese corn Wrap,1
161,27788088847,Trimasu Shake,1
162,26146797097,Phulka Chapati,1
163,26146797097,Daily Special Side Dish (Portion),1
164,22941287885,Idli (2 Pcs),1
165,22941287885,Chapathi Korma,1
166,22512634359,Paneer Pulao with Raita,1
167,22512535762,Idli (2 Pcs),1
168,22512535762,Poori Masala,1
169,21823031245,Poori Masala,1
170,21823031245,Uttapam,1
171,20698577867,Crunchy Chicken,0
172,20698577867,Paneer & corn Pasta,1
173,19986548494,Mango Blast Thick Shake,1
174,19578602443,Cheesy Rice Bowl - Veg,1
175,19578602443,Mexican McAlooTikki Burger         	,1
176,19578602443,McEgg Meal ( R )	,0
177,19405811984,Veg Pulao with Raita,1
178,19405811984,Rasmalai,1
179,1181693164,Tawa Paneer Frankie,1
180,1181693164,Schezwan Paneer Frankie,1
181,1177912478,Mexican Fries (Chef Suggested),1
182,1177912478,Maggi Italiano,1
183,1172808867,Bubble Gum Ice cream (95 gms),1
184,1172808867,Butterscotch Bliss Ice cream (95 gms),1
185,1161151700,Golden Corn,1
186,1161151700,Cheesy Dip,1
187,1161151700,Paneer & Onion,1
188,1161151700,Butterscotch Mousse Cake,1
189,1129725726,Triple Choco Chip Thick Shake,1
190,1123341565,Cookie and Cream Milkshake,1
191,1123287736,Veg Pulao + 3 Phulkas + Dal Fry + Mango Drink (200 ml),1
192,1096353194,Cheese Tandoori Veg Pizza Sandwich,1
193,1096353194,Mixed Choco Sandwich,1
